County,long,lat,group,order,State,sregion
Coconino,-111.3887253,34.38892746,70,3283,Arizona,Phoenix
Coconino,-110.752739,35.33430862,70,3232,Arizona,Phoenix
Coconino,-111.394455,34.400383,70,3282,Arizona,Phoenix
Coconino,-112.5575562,36.90421295,70,3364,Arizona,Phoenix
Coconino,-112.3398361,35.15095901,70,3315,Arizona,Phoenix
Coconino,-112.437233,35.25409317,70,3317,Arizona,Phoenix
Coconino,-113.0216522,36.22812271,70,3346,Arizona,Phoenix
Coconino,-112.2080536,36.99588394,70,3368,Arizona,Phoenix
Coconino,-111.4345627,34.4233017,70,3289,Arizona,Phoenix
Coconino,-111.3887253,34.38319778,70,3284,Arizona,Phoenix
Coconino,-113.3138657,35.95883179,70,3334,Arizona,Phoenix
Coconino,-112.437233,35.15095901,70,3316,Arizona,Phoenix
Coconino,-111.8127136,34.97334671,70,3313,Arizona,Phoenix
Coconino,-112.5346375,36.95005035,70,3365,Arizona,Phoenix
Coconino,-112.4143219,36.99588394,70,3367,Arizona,Phoenix
Coconino,-111.4574814,34.44049454,70,3296,Arizona,Phoenix
Coconino,-111.4918518,34.43476486,70,3303,Arizona,Phoenix
Coconino,-113.1648941,36.15936661,70,3343,Arizona,Phoenix
Coconino,-111.1538162,34.37173843,70,3264,Arizona,Phoenix
Coconino,-110.781395,34.31444168,70,3237,Arizona,Phoenix
Coconino,-111.7897949,34.97334671,70,3311,Arizona,Phoenix
Coconino,-111.4059143,34.44049454,70,3293,Arizona,Phoenix
Coconino,-111.9502258,37.00161362,70,3369,Arizona,Phoenix
Coconino,-113.2221909,36.08488464,70,3340,Arizona,Phoenix
Coconino,-113.290947,36.0906105,70,3338,Arizona,Phoenix
Coconino,-113.1820831,36.14217758,70,3342,Arizona,Phoenix
Coconino,-111.4231033,34.42903519,70,3290,Arizona,Phoenix
Coconino,-111.5033188,34.42903519,70,3304,Arizona,Phoenix
Coconino,-111.5376892,34.42903519,70,3307,Arizona,Phoenix
Coconino,-112.465889,35.25409317,70,3318,Arizona,Phoenix
Coconino,-111.4345627,34.41184616,70,3288,Arizona,Phoenix
Coconino,-112.6721497,36.52032852,70,3358,Arizona,Phoenix
Coconino,-111.1137009,34.38892746,70,3260,Arizona,Phoenix
Coconino,-111.4689407,34.43476486,70,3301,Arizona,Phoenix
Coconino,-111.1423569,34.37746811,70,3263,Arizona,Phoenix
Coconino,-111.1709976,34.38892746,70,3266,Arizona,Phoenix
Coconino,-111.4001846,34.37746811,70,3285,Arizona,Phoenix
Coconino,-111.0965195,34.38892746,70,3259,Arizona,Phoenix
Coconino,-112.6549606,36.41719437,70,3356,Arizona,Phoenix
Coconino,-110.7756653,34.26860428,70,3235,Arizona,Phoenix
Coconino,-112.6320496,36.55470657,70,3359,Arizona,Phoenix
Coconino,-111.1652679,34.38319778,70,3265,Arizona,Phoenix
Coconino,-113.1190567,36.17082214,70,3344,Arizona,Phoenix
Coconino,-112.6778793,36.45730591,70,3357,Arizona,Phoenix
Coconino,-111.428833,34.38892746,70,3287,Arizona,Phoenix
Coconino,-112.6148529,36.5948143,70,3360,Arizona,Phoenix
Coconino,-111.4173737,34.38319778,70,3286,Arizona,Phoenix
Coconino,-111.1251602,34.38892746,70,3261,Arizona,Phoenix
Coconino,-111.1366272,34.38892746,70,3262,Arizona,Phoenix
Coconino,-111.411644,37.00161362,70,3371,Arizona,Phoenix
Gila,-110.7928467,32.9851799,71,3400,Arizona,Tucson
Gila,-111.0334854,34.35454941,71,3504,Arizona,Tucson
Gila,-110.6209564,33.14560699,71,3394,Arizona,Tucson
Gila,-111.5376892,34.42903519,71,3450,Arizona,Tucson
Gila,-110.9131699,34.29725266,71,3508,Arizona,Tucson
Gila,-110.9704666,33.3289566,71,3403,Arizona,Tucson
Gila,-111.5147781,34.4233017,71,3452,Arizona,Tucson
Gila,-111.0678711,34.35454941,71,3502,Arizona,Tucson
Gila,-110.7641983,32.9851799,71,3399,Arizona,Tucson
Gila,-110.6782532,33.09404373,71,3396,Arizona,Tucson
Gila,-111.0449524,34.34309006,71,3503,Arizona,Tucson
Gila,-111.4746704,34.43476486,71,3455,Arizona,Tucson
Gila,-111.4746704,34.4233017,71,3457,Arizona,Tucson
Gila,-110.9303589,33.24301147,71,3401,Arizona,Tucson
Gila,-110.3001022,33.43781662,71,3380,Arizona,Tucson
Gila,-111.4345627,33.99931717,71,3430,Arizona,Tucson
Gila,-111.3887253,34.38319778,71,3473,Arizona,Tucson
Gila,-110.4032364,33.19717407,71,3387,Arizona,Tucson
Gila,-110.7298279,33.01382828,71,3398,Arizona,Tucson
Gila,-110.5865784,33.14560699,71,3393,Arizona,Tucson
Gila,-111.3600769,34.4233017,71,3481,Arizona,Tucson
Gila,-110.7928467,34.31444168,71,3519,Arizona,Tucson
Gila,-110.6610641,33.11696243,71,3395,Arizona,Tucson
Gila,-111.4689407,34.41184616,71,3458,Arizona,Tucson
Gila,-110.8730621,34.2857933,71,3509,Arizona,Tucson
Gila,-111.5892639,34.42903519,71,3448,Arizona,Tucson
Gila,-111.6351013,34.41184616,71,3446,Arizona,Tucson
